127.0.0.1 - - [16/Jul/2021:19:09:59 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:00 -0300] "GET /ProjetoWeb/index.jsp HTTP/1.1" 200 14688
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:00 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:00 -0300] "GET /ProjetoWeb/img/menu.jpg HTTP/1.1" 200 378741
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:00 -0300] "GET /ProjetoWeb/img/calendario.jpg HTTP/1.1" 200 6027
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:00 -0300] "GET /ProjetoWeb/img/perfil.png HTTP/1.1" 200 13565
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:00 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:06 -0300] "GET /ProjetoWeb/index.jsp HTTP/1.1" 200 14688
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:06 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:07 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:07 -0300] "GET /ProjetoWeb/img/menu.jpg HTTP/1.1" 200 378741
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:07 -0300] "GET /ProjetoWeb/img/calendario.jpg HTTP/1.1" 200 6027
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:07 -0300] "GET /ProjetoWeb/img/perfil.png HTTP/1.1" 200 13565
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:07 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:12 -0300] "POST /ProjetoWeb/Auth HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:12 -0300] "GET /ProjetoWeb/index.jsp HTTP/1.1" 200 9367
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:14 -0300] "GET /ProjetoWeb/passagens.jsp?idpassagem=6 HTTP/1.1" 200 3578
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:14 -0300] "GET /ProjetoWeb/img/aviao.jpg HTTP/1.1" 200 165740
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:14 -0300] "GET /ProjetoWeb/img/aviaopequeno.png HTTP/1.1" 200 19337
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:23 -0300] "GET /ProjetoWeb/index.jsp HTTP/1.1" 200 9367
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:26 -0300] "GET /ProjetoWeb/index.jsp HTTP/1.1" 200 9367
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:26 -0300] "GET /ProjetoWeb/css/design.css HTTP/1.1" 200 9079
0:0:0:0:0:0:0:1 - - [16/Jul/2021:19:10:26 -0300] "GET /ProjetoWeb/js/script.js HTTP/1.1" 200 4575
